trade_type,txid,pair,market,network,coin_balance_changes,timestamp,timestamp_human,successful,gas_paid,gas_paid_usd,fee_paid,fee_paid_usd,volume,usd_volume,price,side,error_reason,strategy_id,is_hedging,tried_to_cancel,cancel_time,time_between_cancel_and_trade,pool_address,pool_fee,cid,strategy_trigger,slot_delay,send_slot,processed_slot,send_slot_country,processed_slot_country,slot_plus_1_country,slot_plus_2_country,slot_plus_3_country,log_emitter_address,block_number,transaction_index,log_index,trader,effective_trader,order_id,execution_mode,swap_cardinality,theo_10s,profitability_10s,usd_profit_10s,seconds_difference_10s,theo_300s,profitability_300s,usd_profit_300s,seconds_difference_300s
cexdex,2Waii613ENLqqhzSF5e9qbNRcBT6KvVN3kkCXgjmjVNqXvWdzPvebxP54oJCJXkNZF7L9CGkfYjkSEtdsENgu1mc,PUMP_USDC,RAYDIUM_CLMM,SOLANA,"{""SOL"":-6.95e-6}",1775212290,03/04/2026 10:31:30.000,False,6.95e-06,0.00055415825,0.0,0.0,,0.0,,,LiquidityTooHigh,9cd85094-f117-4635-bed8-2a7fae271090,False,False,,,Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,0.0025,R_19cc9bad-3407-4f33-b508-c43443d3b7a4,RUN ON MAIN MARKET CHANGE,2,410733713,410733715,DE,DE,DE,DE,NL,,,,,,,,,,,,,,,,,
cexdex,4sVBXXNuBacNwqLwZv3EskWKGjQLP5GbpBMwmDeuKbPKVvexXXfrQ4bfr5hQQuAsWzijnqc9sNgYDZFFjxyzJTQz,PUMP_USDC,RAYDIUM_CLMM,SOLANA,"{""SOL"":-6.95e-6}",1775212290,03/04/2026 10:31:30.000,False,6.95e-06,0.00055415825,0.0,0.0,,0.0,,,LiquidityTooHigh,9cd85094-f117-4635-bed8-2a7fae271090,False,False,,,Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,0.0025,A_19cc9bad-3407-4f33-b508-c43443d3b7a4,RUN ON MAIN MARKET CHANGE,2,410733713,410733715,DE,DE,DE,DE,NL,,,,,,,,,,,,,,,,,
cexdex,5hLX58xiWpgmL5AbuYgWZLtTkPupdfrH7jCpntyGMoieJBGBZY1FMgDUvXe16ckWzfeJmVVJNUDQk64ffSbZTb41,PUMP_USDC,RAYDIUM_CLMM,SOLANA,"{""SOL"":-7.173e-6}",1775212291,03/04/2026 10:31:31.000,False,7.173e-06,0.000571939155,0.0,0.0,,0.0,,,LiquidityTooHigh,9cd85094-f117-4635-bed8-2a7fae271090,False,False,,,Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,0.0025,R_0bd18a02-f5fd-420e-a5ac-ed53a01a6486,RUN ON OWN TRADE,2,410733714,410733716,DE,NL,DE,NL,NL,,,,,,,,,,,,,,,,,
cexdex,1SdAfycRwfX1bMSoykXpNGddjaaqKe33yDyHVj1JJwJaKx2GoqSnvTA97cCsrW6jG4MwQ1VLKLR7zBDCqtF2JKd,PUMP_USDC,RAYDIUM_CLMM,SOLANA,"{""SOL"":-7.173e-6}",1775212291,03/04/2026 10:31:31.000,False,7.173e-06,0.000571939155,0.0,0.0,,0.0,,,LiquidityTooHigh,9cd85094-f117-4635-bed8-2a7fae271090,False,False,,,Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,0.0025,A_0bd18a02-f5fd-420e-a5ac-ed53a01a6486,RUN ON OWN TRADE,2,410733714,410733716,DE,NL,DE,NL,NL,,,,,,,,,,,,,,,,,
cexdex,315U2FCo1r8T1RMb13xRzJehsSsWsaT5t8fpAthBbjaM6E6iTiGSRqm4e5xC1Zd9hD9kqmgstZeEM9LBZ6ahGjZn,PUMP_USDC,RAYDIUM_CLMM,SOLANA,"{""SOL"":-7.173e-6}",1775212294,03/04/2026 10:31:34.000,False,7.173e-06,0.000571939155,0.0,0.0,,0.0,,,LiquidityTooHigh,9cd85094-f117-4635-bed8-2a7fae271090,False,False,,,Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,0.0025,J_0bd18a02-f5fd-420e-a5ac-ed53a01a6486,RUN ON OWN TRADE,6,410733714,410733720,DE,NL,DE,NL,NL,,,,,,,,,,,,,,,,,
cexdex,ZA1e1w1YK3iQCWSTA2GedEPg85LYHW9ZzTm9Z7RB7hAsyKfKSRqbQk154a3jgcCVjmCy8V6bkxxDSNF3rkLTy4U,PUMP_USDC,RAYDIUM_CLMM,SOLANA,"{""SOL"":-6.95e-6}",1775212294,03/04/2026 10:31:34.000,False,6.95e-06,0.00055415825,0.0,0.0,,0.0,,,LiquidityTooHigh,9cd85094-f117-4635-bed8-2a7fae271090,False,False,,,Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,0.0025,J_19cc9bad-3407-4f33-b508-c43443d3b7a4,RUN ON MAIN MARKET CHANGE,7,410733713,410733720,DE,NL,DE,DE,NL,,,,,,,,,,,,,,,,,
cexdex,3aFmoa6UVPnDfu36n11cMpbBiaLpa2MSKZXBRsC5yxy4pLTLmM4tLr5LNQ3DUfFx938JgUFXuTfjqqVDu2HxSkLP,WIF_WSOL,ORCA,SOLANA,"{""SOL"":-5.975e-6}",1775212740,03/04/2026 10:39:00.000,False,5.975e-06,0.000476416625,0.0,0.0,,0.0,,,InvalidSqrtPriceLimitDirection,a4827711-283e-4b6b-9354-b362712cbf68,False,True,1775212740.4682124,-0.468212366104126,D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,0.0004,R_49f8d0a9-8826-4963-8270-c36df319f8fc,RUN ON MAIN MARKET CHANGE,1,410734860,410734861,SE,SE,SE,SE,SE,,,,,,,,,,,,,,,,,
cexdex,3zhgTWzMGpMEitXNkdDGDaBMnY6xWY7HyAFLniXwRRi1QSj2Dx2CHv94uXUdpXLqND7RQDm6ENpaMaHpC79Hatas,WIF_WSOL,ORCA,SOLANA,"{""SOL"":-5.975e-6}",1775212740,03/04/2026 10:39:00.000,False,5.975e-06,0.000476416625,0.0,0.0,,0.0,,,InvalidSqrtPriceLimitDirection,a4827711-283e-4b6b-9354-b362712cbf68,False,True,1775212740.4682124,-0.468212366104126,D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,0.0004,A_49f8d0a9-8826-4963-8270-c36df319f8fc,RUN ON MAIN MARKET CHANGE,1,410734860,410734861,SE,SE,SE,SE,SE,,,,,,,,,,,,,,,,,
cexdex,47C5Vmn4RVhW8wfPmK84ZPyaQMbvrQqQfbVMmxuUw9TqwcEyNBZrhkn3r2jvtWUoHs7dFVUKevBCkQPRY8cHagZ2,WIF_WSOL,ORCA,SOLANA,"{""SOL"":-5.975e-6}",1775212740,03/04/2026 10:39:00.000,False,5.975e-06,0.000476416625,0.0,0.0,,0.0,,,InvalidSqrtPriceLimitDirection,a4827711-283e-4b6b-9354-b362712cbf68,False,True,1775212740.4682124,-0.468212366104126,D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,0.0004,J_49f8d0a9-8826-4963-8270-c36df319f8fc,RUN ON MAIN MARKET CHANGE,2,410734860,410734862,SE,SE,SE,SE,SE,,,,,,,,,,,,,,,,,
cexdex,2bubYiVk66rtEnMeiwPkb7RaqEAswDzKMiXAx3fuobM43pTBDmzVsPhFwgWgG7WnhPpCYikbA7PLad9jJrMWFgrr,WIF_WSOL,ORCA,SOLANA,"{""SOL"":-5.975e-6}",1775213109,03/04/2026 10:45:09.000,False,5.975e-06,0.000477312875,0.0,0.0,,0.0,,,InvalidSqrtPriceLimitDirection,a4827711-283e-4b6b-9354-b362712cbf68,False,True,1775213109.0227087,-0.022708654403686523,D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,0.0004,R_e20ea02a-18a5-4989-915f-c90e79db483b,RUN ON MAIN MARKET CHANGE,1,410735802,410735803,DE,DE,DE,LT,LT,,,,,,,,,,,,,,,,,
